userId,movieId,rating,timestamp
36660,280,4,834049053
91867,2657,5,971578971
107259,2566,2,944169497
129338,4161,2.5,1137405482
128693,2355,4,984620012
97984,4052,3.5,1112061639
97700,3949,4,1274039326
10443,94839,2,1420951497
81462,4105,3,1092108684
6031,593,4,834163850
84928,410,3,841733708
114253,1479,3,1337302034
137568,464,3,945118778
65476,1198,3,849410051
1507,5481,2,1140512132
63039,230,4,956616163
36562,1246,4,1007882228
14022,63859,3.5,1237750921
42716,2273,4,916425770
8034,5481,4,1090764120
33036,457,2,1180924780
97860,54999,1.5,1403989760
34579,2485,2.5,1427454092
33082,1244,2,1037753947
57735,1614,2,976071235
52760,3794,3,1053113509
14032,4483,1,994109138
42830,223,5,833387100
14986,252,4,840057505
118955,53894,2.5,1291115201
129931,6333,3,1089731870
122083,1,3.5,1111090932
110069,69849,3,1271986824
28619,1207,5,1145725665
116019,2053,0.5,1117499814
47816,33493,4,1136166745
30507,32029,3,1422110121
62235,5613,4,1049795323
104785,2374,4,918331228
8838,4022,5,1060051451
70548,725,4,867410621
52114,1036,4,956806339
78252,1202,3,962339168
5674,1073,3,852203171
55711,4886,4,1042548000
15323,2087,3,943357742
85108,1196,5,1013461984
81535,194,3,845208740
79285,41997,4,1149364388
56123,6287,0.5,1099793411
4540,2995,2.5,1112918957
98812,2946,3,1327584453
103170,1270,4,913832955
67382,2700,3,1097967024
68212,1266,5,1036350099
74100,3598,4,1042686179
63287,110771,5,1415988673
5352,1586,3.5,1080103353
7378,590,5,1213381193
119060,5481,4.5,1111488882
96369,2000,3,1287862590
22189,47,4,1053717997
98412,1610,3,1304044780
50965,1208,4,1378649458
93670,53322,4,1217899303
78424,898,4,1275237326
14995,1204,5,1106691239
119811,2405,2.5,1073954986
5254,3623,4,971061169
36964,10,3,847348293
124093,8371,3,1206306192
48290,111,1,835160128
56958,2858,4,1039383638
67319,2917,4,973136817
135570,48783,4.5,1162678777
44504,69526,4.5,1317838861
6480,161,4,857810789
83432,2450,3.5,1148056540
52262,1590,3,924562465
75942,2000,2,975487484
56722,356,4,1111741732
97593,2826,4,960503761
115614,799,3,945045108
89546,235,3,845395132
87861,6377,2,1111589444
10485,71464,3.5,1420841170
130110,6566,3,1302252933
116302,3752,3.5,1123156197
124246,588,3,980358403
30501,3006,4.5,1115674784
130286,595,3.5,1250311169
50989,434,3,836991459
100428,3101,4,974595407
2103,1092,1.5,1112556677
42054,3328,4.5,1128351184
86723,1193,4.5,1378296512
65170,356,3,1023632538
10389,63222,4.5,1243213654
57411,6502,4,1427300794
20379,2987,2.5,1323055636
62551,1645,1.5,1095375047
69024,2969,4,974431584
127460,376,3,941370049
21323,4878,2.5,1414351151
92167,158,0.5,1370741380
28039,4963,3.5,1274494237
136301,4519,3.5,1200556916
69683,1515,2,994829060
82556,1213,3.5,1107153163
85916,2716,4,961986084
768,44191,4,1160675138
104411,1395,4,945639310
22122,1005,1,1194208884
29656,66200,1.5,1248224325
110847,5952,4.5,1137531554
36312,165,3,1268864500
103315,2571,5,1209437687
39186,2167,1,1094146335
124329,8371,3.5,1150085941
14655,215,5,844027913
30767,3535,2.5,1200944512
80320,3623,2,1299487169
17469,55247,0.5,1226067003
108285,86880,3.5,1328709806
138086,11,4,858129986
15393,239,4,828706001
72679,39449,3.5,1189211271
122571,590,4,836674004
46470,1321,0.5,1228833278
42791,1806,2,1167233004
54650,333,2,834107773
33081,45499,2.5,1201125685
23924,232,4,1186624032
66457,2364,1,950810922
116361,4979,5,1070321224
126515,2502,4,1145577633
61030,1747,3.5,1092332368
117156,3210,5,966356159
132682,4016,3.5,1285016842
4748,4679,2.5,1155913945
71804,1267,4,1065645604
44386,3044,5,1031757115
66763,1207,5,974686367
84958,103253,4,1406957692
122199,3105,4,990739291
65340,3826,2.5,1285699131
101939,1307,3.5,1290653123
81523,4270,3,1107710472
110278,5418,5,1242277255
55807,135,3,850729422
104318,21,4,844817993
56209,1241,5,974958839
14863,1721,4,940655399
29037,1219,5,1136398689
93121,333,2,1129343811
117679,293,2,848688784
97690,296,3,1228658881
109711,2428,3,1356632709
111165,3751,3,964209539
49229,69284,3,1244870380
123514,3793,1,975197653
85022,527,4,1119378152
87294,733,4,1328311588
116539,3681,4,965011756
90516,8665,1,1126760297
127781,2918,4.5,1349643850
99020,3019,5,946181682
105580,72226,2.5,1322240847
35246,5266,4,1018815633
79636,5349,3.5,1112539406
103838,2971,4,1025695941
98073,34,2,1321231230
51992,4448,3.5,1288811915
23353,2797,5,1169824802
137037,3616,1,1056610666
